Run,my_stage,Organism,project
DRR024470,embryo,Acropora digitifera,PRJDB3244
DRR024471,embryo,Acropora digitifera,PRJDB3244
DRR024480,embryo,Acropora digitifera,PRJDB3244
DRR108020,adult,Acropora digitifera,PRJDB6468
DRR108021,adult,Acropora digitifera,PRJDB6468
DRR119960,recruit,Acropora tenuis,PRJDB4715
DRR119961,recruit,Acropora tenuis,PRJDB4715
s104_S140,adult,Acropora millepora,This study
s105_S141,adult,Acropora millepora,This study
s115_S150,adult,Acropora millepora,This study
s116_S151,adult,Acropora millepora,This study
s126_S160,adult,Acropora millepora,This study
s127_S161,adult,Acropora millepora,This study
s12_S50,adult,Acropora millepora,This study
s136_S170,adult,Acropora millepora,This study
s137_S171,adult,Acropora millepora,This study
s13_S51,adult,Acropora millepora,This study
s146_S180,adult,Acropora millepora,This study
s147_S181,adult,Acropora millepora,This study
s156_S190,adult,Acropora millepora,This study
s157_S191,adult,Acropora millepora,This study
s166_S200,adult,Acropora millepora,This study
s167_S201,adult,Acropora millepora,This study
s181_S210,adult,Acropora millepora,This study
s182_S211,adult,Acropora millepora,This study
s22_S60,adult,Acropora millepora,This study
s23_S61,adult,Acropora millepora,This study
s2_S40,adult,Acropora millepora,This study
s32_S70,adult,Acropora millepora,This study
s33_S71,adult,Acropora millepora,This study
s3_S41,adult,Acropora millepora,This study
s43_S80,adult,Acropora millepora,This study
s44_S81,adult,Acropora millepora,This study
s53_S90,adult,Acropora millepora,This study
s54_S91,adult,Acropora millepora,This study
s63_S100,adult,Acropora millepora,This study
s64_S101,adult,Acropora millepora,This study
s73_S110,adult,Acropora millepora,This study
s74_S111,adult,Acropora millepora,This study
s83_S120,adult,Acropora millepora,This study
s84_S121,adult,Acropora millepora,This study
s93_S130,adult,Acropora millepora,This study
s94_S131,adult,Acropora millepora,This study
SRR1015321,adult,Acropora cervicornis,PRJNA222758
SRR1015331,adult,Acropora cervicornis,PRJNA222758
SRR1015340,adult,Acropora cervicornis,PRJNA222758
SRR1206130,adult,Acropora hyacinthus complex sp. E JTL-2012,PRJNA242821
SRR1206131,adult,Acropora hyacinthus complex sp. E JTL-2012,PRJNA242821
SRR1653611,adult,Acropora aspera,PRJNA266455
SRR1812170,adult,Acropora hyacinthus,PRJNA274410
